
At 2016-10-18 23:57:36  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 5.01

At 2016-10-19 00:25:01  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 0.1

At 2016-10-19 00:44:48  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 0.16

At 2016-10-19 01:09:02  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 0.27

At 2016-10-19 01:13:20  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 0.43

At 2016-10-19 01:16:59  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 0.71

At 2016-10-19 01:21:21  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 1.15

At 2016-10-19 01:25:50  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 1.88

At 2016-10-19 01:30:53  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 3.07

At 2016-10-19 01:38:28  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 5.01
MCMLE estimation did not converge after 50 iterations. The estimated coefficients may not be accurate. Estimation may be resumed by passing the coefficients as initial values; see 'init' under ?control.ergm for details.


At 2016-10-19 02:02:40  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 0.1

At 2016-10-19 02:22:45  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 0.16

At 2016-10-19 02:45:06  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 0.27

At 2016-10-19 02:50:48  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 0.43

At 2016-10-19 02:54:42  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 0.71

At 2016-10-19 02:58:28  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 1.15

At 2016-10-19 03:02:55  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 1.88

At 2016-10-19 03:07:34  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 3.07

At 2016-10-19 03:14:34  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 5.01
MCMLE estimation did not converge after 50 iterations. The estimated coefficients may not be accurate. Estimation may be resumed by passing the coefficients as initial values; see 'init' under ?control.ergm for details.

