
At 2016-10-16 04:17:35  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 3.07

At 2016-10-16 04:30:17  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 5.01

At 2016-10-16 04:42:06  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.1
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:07  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.16
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:08  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.27
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:09  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.43
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:10  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.71
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:10  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 1.15
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:11  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 1.88
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:12  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 3.07
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:13  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 5.01
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:18  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 0.1
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:19  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 0.16
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:20  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 0.27
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:20  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 0.43
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:21  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 0.71
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:22  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 1.15
